date;water_level
2018-01-04 04:00:00;0.37
2018-01-04 05:00:00;0.32
2018-01-07 06:00:00;0.47
2018-01-07 07:00:00;0.45
2018-01-07 08:00:00;0.45
2018-01-08 06:00:00;0.45
2018-01-08 07:00:00;0.38
2018-01-08 08:00:00;0.42
2018-01-08 09:00:00;0.45
2018-01-11 23:00:00;0.44
2018-01-12 00:00:00;0.41
2018-01-12 01:00:00;0.35
2018-01-15 00:00:00;0.43
2018-01-15 01:00:00;0.41
2018-01-15 02:00:00;0.37
2018-01-15 03:00:00;0.34
2018-01-15 04:00:00;0.39
2018-01-17 01:00:00;0.41
2018-01-17 02:00:00;0.39
2018-01-17 03:00:00;0.36
2018-01-17 04:00:00;0.31
2018-01-17 05:00:00;0.42
2018-01-22 07:00:00;0.47
2018-01-27 23:00:00;0.43
2018-01-29 01:00:00;0.4
2018-01-30 00:00:00;0.43
2018-01-30 01:00:00;0.34
2018-01-30 02:00:00;0.4
2018-01-30 03:00:00;0.47
2018-02-01 01:00:00;0.43
2018-02-01 02:00:00;0.26
2018-02-01 03:00:00;0.32
2018-02-01 04:00:00;0.27
2018-02-01 05:00:00;0.37
2018-02-02 03:00:00;0.42
2018-02-02 04:00:00;0.4
2018-02-02 05:00:00;0.33
2018-02-02 06:00:00;0.44
2018-02-03 05:00:00;0.42
2018-02-03 06:00:00;0.41
2018-02-03 07:00:00;0.47
2018-02-03 16:00:00;0.37
2018-02-03 17:00:00;0.43
2018-02-03 18:00:00;0.47
2018-02-06 05:00:00;0.4
2018-02-06 06:00:00;0.34
2018-02-06 07:00:00;0.22
2018-02-06 08:00:00;0.17
2018-02-06 09:00:00;0.36
2018-02-06 10:00:00;0.39
2018-02-07 19:00:00;0.44
2018-02-07 20:00:00;0.39
2018-02-07 21:00:00;0.44
2018-02-09 22:00:00;0.43
2018-02-09 23:00:00;0.38
2018-02-10 00:00:00;0.33
2018-02-10 01:00:00;0.4
2018-02-10 02:00:00;0.43
2018-02-11 00:00:00;0.41
2018-02-11 01:00:00;0.44
2018-02-11 02:00:00;0.47
2018-02-12 22:00:00;0.36
2018-02-12 23:00:00;0.27
2018-02-13 00:00:00;0.13
2018-02-13 01:00:00;0.02
2018-02-13 02:00:00;-0.02
2018-02-13 03:00:00;0.06
2018-02-13 04:00:00;0.15
2018-02-13 05:00:00;0.33
2018-02-14 01:00:00;0.45
2018-02-14 02:00:00;0.32
2018-02-14 03:00:00;0.36
2018-02-14 04:00:00;0.45
2018-02-15 01:00:00;0.45
2018-02-15 02:00:00;0.38
2018-02-15 03:00:00;0.43
2018-02-17 03:00:00;0.45
2018-02-17 04:00:00;0.4
2018-02-17 05:00:00;0.45
2018-02-17 06:00:00;0.36
2018-02-19 03:00:00;0.46
2018-02-19 04:00:00;0.39
2018-02-19 05:00:00;0.28
2018-02-19 07:00:00;0.45
2018-02-22 06:00:00;0.37
2018-02-22 07:00:00;0.39
2018-02-22 08:00:00;0.39
2018-02-23 18:00:00;0.47
2018-02-23 19:00:00;0.33
2018-02-23 20:00:00;0.38
2018-02-25 23:00:00;0.41
2018-02-26 00:00:00;0.45
2018-02-26 01:00:00;0.47
2018-02-28 00:00:00;0.43
2018-02-28 01:00:00;0.32
2018-02-28 02:00:00;0.4
2018-02-28 03:00:00;0.42
2018-03-01 02:00:00;0.43
2018-03-01 03:00:00;0.44
2018-03-02 02:00:00;0.46
2018-03-02 03:00:00;0.45
2018-03-02 04:00:00;0.47
2018-03-15 01:00:00;0.47
2018-03-26 21:00:00;0.42
2018-03-26 22:00:00;0.32
2018-03-26 23:00:00;0.29
2018-03-27 00:00:00;0.33
2018-03-27 01:00:00;0.4
2018-03-29 00:00:00;0.43
2018-03-29 01:00:00;0.46
2018-03-29 02:00:00;0.45
2018-03-30 01:00:00;0.39
2018-03-30 02:00:00;0.37
2018-03-30 03:00:00;0.43
2018-04-01 03:00:00;0.45
2018-04-02 15:00:00;0.34
2018-04-02 16:00:00;0.34
2018-04-02 17:00:00;0.41
2018-04-05 17:00:00;0.42
2018-04-05 18:00:00;0.29
2018-04-05 20:00:00;0.41
2018-04-06 18:00:00;0.47
2018-04-06 19:00:00;0.43
2018-04-09 20:00:00;0.47
2018-04-09 22:00:00;0.43
2018-04-09 23:00:00;0.39
2018-04-16 14:00:00;0.3
2018-04-16 15:00:00;0.25
2018-04-16 16:00:00;0.3
2018-04-16 17:00:00;0.43
2018-04-21 18:00:00;0.44
2018-04-21 19:00:00;0.44
2018-04-22 20:00:00;0.46
2018-04-23 20:00:00;0.45
2018-04-23 21:00:00;0.43
2018-04-23 22:00:00;0.44
2018-04-30 14:00:00;0.41
2018-04-30 15:00:00;0.4
2018-04-30 16:00:00;0.4
2018-05-01 14:00:00;0.41
2018-05-01 15:00:00;0.3
2018-05-01 16:00:00;0.35
2018-05-01 17:00:00;0.43
2018-05-01 18:00:00;0.44
2018-05-03 16:00:00;0.38
2018-05-03 17:00:00;0.4
2018-05-03 18:00:00;0.47
2018-05-04 17:00:00;0.45
2018-05-04 18:00:00;0.46
2018-05-08 22:00:00;0.46
2018-05-08 23:00:00;0.47
2018-05-16 13:00:00;0.47
2018-05-16 14:00:00;0.32
2018-05-16 15:00:00;0.28
2018-05-16 16:00:00;0.2
2018-05-16 17:00:00;0.31
2018-05-17 15:00:00;0.36
2018-05-17 16:00:00;0.32
2018-05-17 17:00:00;0.3
2018-05-17 18:00:00;0.39
2018-05-17 19:00:00;0.45
2018-05-18 15:00:00;0.45
2018-05-18 16:00:00;0.34
2018-05-18 17:00:00;0.29
2018-05-18 18:00:00;0.31
2018-05-18 19:00:00;0.4
2018-05-19 16:00:00;0.41
2018-05-19 17:00:00;0.35
2018-05-19 18:00:00;0.34
2018-05-19 19:00:00;0.39
2018-05-27 13:00:00;0.4
2018-05-27 14:00:00;0.41
2018-05-28 13:00:00;0.41
2018-05-28 14:00:00;0.36
2018-05-28 15:00:00;0.37
2018-05-30 14:00:00;0.43
2018-05-30 15:00:00;0.32
2018-05-30 16:00:00;0.37
2018-05-30 17:00:00;0.43
2018-05-31 16:00:00;0.41
2018-05-31 17:00:00;0.47
2018-06-12 14:00:00;0.47
2018-06-13 14:00:00;0.38
2018-06-13 15:00:00;0.35
2018-06-13 16:00:00;0.43
2018-06-15 15:00:00;0.43
2018-06-15 16:00:00;0.38
2018-06-15 17:00:00;0.42
2018-06-16 16:00:00;0.43
2018-06-16 17:00:00;0.39
2018-06-16 18:00:00;0.42
2018-06-17 17:00:00;0.33
2018-06-17 18:00:00;0.32
2018-06-17 19:00:00;0.4
2018-06-26 14:00:00;0.43
2018-06-26 15:00:00;0.37
2018-06-26 16:00:00;0.46
2018-07-01 16:00:00;0.47
2018-07-01 17:00:00;0.47
2018-07-11 13:00:00;0.45
2018-07-12 13:00:00;0.47
2018-07-12 14:00:00;0.34
2018-07-12 15:00:00;0.38
2018-07-13 14:00:00;0.38
2018-07-13 15:00:00;0.29
2018-07-13 16:00:00;0.36
2018-07-13 17:00:00;0.47
2018-07-14 14:00:00;0.35
2018-07-14 15:00:00;0.3
2018-07-14 16:00:00;0.26
2018-07-14 17:00:00;0.3
2018-07-14 18:00:00;0.43
2018-07-15 15:00:00;0.47
2018-07-15 16:00:00;0.41
2018-07-15 17:00:00;0.38
2018-07-15 18:00:00;0.46
2018-07-16 18:00:00;0.47
2018-08-11 14:00:00;0.45
2018-08-11 15:00:00;0.4
2018-08-11 16:00:00;0.45
2018-08-12 14:00:00;0.47
2018-08-12 15:00:00;0.38
2018-08-12 16:00:00;0.36
2018-08-12 17:00:00;0.39
2018-08-13 16:00:00;0.43
2018-08-13 17:00:00;0.44
2018-09-10 15:00:00;0.43
2018-09-10 16:00:00;0.47
2018-10-27 03:00:00;0.43
2018-10-27 04:00:00;0.38
2018-10-27 05:00:00;0.42
2018-10-29 05:00:00;0.46
2018-10-29 06:00:00;0.42
2018-11-04 10:00:00;0.32
2018-11-04 11:00:00;0.26
2018-11-04 12:00:00;0.13
2018-11-04 13:00:00;0.06
2018-11-04 14:00:00;0.16
2018-11-04 15:00:00;0.43
2018-11-06 01:00:00;0.3
2018-11-06 02:00:00;0.38
2018-11-06 03:00:00;0.41
2018-11-08 02:00:00;0.47
2018-11-08 04:00:00;0.43
2018-11-09 03:00:00;0.46
2018-11-09 04:00:00;0.43
2018-11-10 03:00:00;0.41
2018-11-10 04:00:00;0.35
2018-11-10 05:00:00;0.41
2018-11-11 04:00:00;0.33
2018-11-11 05:00:00;0.28
2018-11-11 06:00:00;0.22
2018-11-11 07:00:00;0.34
2018-11-11 17:00:00;0.41
2018-11-14 09:00:00;0.39
2018-11-14 10:00:00;0.47
2018-11-14 11:00:00;0.46
2018-11-14 20:00:00;0.33
2018-11-14 22:00:00;0.45
2018-11-14 23:00:00;0.46
2018-11-15 04:00:00;0.46
2018-11-15 05:00:00;0.25
2018-11-15 06:00:00;0.41
2018-11-15 07:00:00;0.43
2018-11-15 08:00:00;0.43
2018-11-15 09:00:00;0.43
2018-11-23 02:00:00;0.41
2018-11-24 02:00:00;0.35
2018-11-24 03:00:00;0.38
2018-11-24 04:00:00;0.29
2018-11-24 05:00:00;0.44
2018-12-09 04:00:00;0.41
2018-12-10 04:00:00;0.47
2018-12-14 07:00:00;0.44
2018-12-24 04:00:00;0.41
2018-12-25 04:00:00;0.47
2018-12-25 05:00:00;0.46
2018-12-26 05:00:00;0.45
2018-12-28 06:00:00;0.47
2019-01-03 00:00:00;0.4
2019-01-04 01:00:00;0.42
2019-01-04 02:00:00;0.4
2019-01-04 03:00:00;0.39
2019-01-07 04:00:00;0.4
2019-01-07 05:00:00;0.4
2019-01-18 00:00:00;0.44
2019-01-18 01:00:00;0.41
2019-01-18 02:00:00;0.42
2019-01-20 00:00:00;0.43
2019-01-20 01:00:00;0.32
2019-01-20 02:00:00;0.34
2019-01-20 03:00:00;0.41
2019-01-22 03:00:00;0.46
2019-01-22 05:00:00;0.46
2019-01-23 02:00:00;0.44
2019-01-23 03:00:00;0.29
2019-01-23 04:00:00;0.19
2019-01-23 05:00:00;0.25
2019-01-23 06:00:00;0.29
